year,dist,mean_price
104,"三峽區",26.77647
104,"三重區",48.99388
104,"中和區",54.91241
104,"八里區",36.74
104,"土城區",44.21204
104,"新店區",57.42098
104,"新莊區",51.57117
104,"板橋區",25.69806
104,"林口區",31.08105
104,"永和區",62.825
104,"汐止區",40.95387
104,"泰山區",35.3625
104,"淡水區",27.54093
104,"蘆洲區",47.0697
105,"三峽區",26.93235
105,"三重區",47.94253
105,"中和區",52.19023
105,"土城區",45.506
105,"新店區",52.0608
105,"新莊區",49.41797
105,"板橋區",43.40076
105,"林口區",29.1
105,"樹林區",31.65897
105,"永和區",61.42755
105,"汐止區",37.91923
105,"泰山區",32.5375
105,"淡水區",28.91212
105,"蘆洲區",47.93781
106,"三峽區",28.29231
106,"三重區",47.13064
106,"中和區",45.66987
106,"八里區",22.86744
106,"土城區",40.22222
106,"新店區",52.35729
106,"新莊區",46.44004
106,"板橋區",21.99367
106,"林口區",28.57595
106,"樹林區",30.025
106,"永和區",61.99761
106,"汐止區",35.56034
106,"泰山區",33.35714
106,"淡水區",30.52183
106,"蘆洲區",44.407
107,"三峽區",28.30952
107,"三重區",47.87878
107,"中和區",49.56193
107,"八里區",21.34737
107,"土城區",36.72747
107,"新店區",57.00966
107,"新莊區",43.53724
107,"板橋區",33.50611
107,"林口區",29.97977
107,"樹林區",29.3
107,"永和區",62.39206
107,"汐止區",38.82408
107,"泰山區",32.61177
107,"淡水區",29.11924
107,"蘆洲區",44.74074
108,"三峽區",29.88571
108,"三重區",46.46452
108,"中和區",48.91047
108,"八里區",19.7
108,"土城區",39.66913
108,"新店區",56.79817
108,"新莊區",43.59324
108,"板橋區",54.00557
108,"林口區",32.05046
108,"樹林區",31.98286
108,"永和區",65.01476
108,"汐止區",38.8025
108,"泰山區",32.34444
108,"淡水區",30.26994
108,"蘆洲區",43.82683
109,"三峽區",25.15617
109,"三重區",47.2243
109,"中和區",47.30159
109,"八里區",22.9
109,"土城區",41.23058
109,"新店區",59.26678
109,"新莊區",43.75576
109,"板橋區",55.91063
109,"林口區",32.54506
109,"樹林區",29.45714
109,"永和區",63.8419
109,"汐止區",38.82402
109,"泰山區",28.325
109,"淡水區",35.76943
109,"蘆洲區",43.11194
110,"三峽區",32.7027
110,"三重區",52.10083
110,"中和區",49.71911
110,"八里區",23.86262
110,"土城區",45.56448
110,"新店區",58.32205
110,"新莊區",48.94414
110,"板橋區",64.51011
110,"林口區",35.04456
110,"樹林區",35.8
110,"永和區",62.57778
110,"汐止區",43.58115
110,"泰山區",35.45
110,"淡水區",34.21544
110,"蘆洲區",44.70678
111,"三峽區",35.73333
111,"三重區",52.85465
111,"中和區",57.75327
111,"八里區",36.84808
111,"土城區",47.36736
111,"新店區",64.49783
111,"新莊區",54.37453
111,"板橋區",67.15314
111,"林口區",39.46618
111,"樹林區",20.75
111,"永和區",61.29259
111,"汐止區",46.67479
111,"泰山區",40.56667
111,"淡水區",36.62206
111,"蘆洲區",49.33529
112,"三峽區",40.36667
112,"三重區",54.31901
112,"中和區",60.87597
112,"八里區",38.49655
112,"土城區",49.53088
112,"新店區",65.94962
112,"新莊區",53.78354
112,"板橋區",67.51737
112,"林口區",39.41733
112,"永和區",64.05
112,"汐止區",50.91021
112,"泰山區",49.4
112,"淡水區",39.2411
112,"蘆洲區",52.825
